degree,riskstat,1hop_degree,2hop_degree,1hop_riskstat,2hop_riskstat
-1.5347538,-1.0964532,-0.78867006,-0.78520703,-0.7353568,-0.77230376
-1.5347538,-1.0964532,-0.78867006,-0.78520703,-0.7353568,-0.77230376
-1.5347538,-1.0964532,-0.78867006,-0.78520703,-0.7353568,-0.77230376
-1.473277,-1.0964532,-0.78614706,-0.78520703,-0.7353568,-0.77230376
-1.473277,-0.80735964,-0.78614706,-0.78520703,-0.7243127,-0.77230376
-1.473277,-1.0964532,-0.78614706,-0.78520703,-0.7353568,-0.77230376
-1.2888469,-0.80735964,-0.7668038,-0.76134825,-0.71326864,-0.73875856
-1.1658933,-0.80735964,-0.7567116,-0.78043526,-0.6967026,-0.77230376
-1.2888469,-0.80735964,-0.76512176,-0.7693012,-0.7077466,-0.7499403
-1.4118003,-1.0964532,-0.7785779,-0.76293886,-0.7243127,-0.7499403
-1.3503236,-1.0964532,-0.7760549,-0.78520703,-0.7353568,-0.77230376
-0.9814632,-0.80735964,-0.70793295,-0.77407295,-0.68013644,-0.77230376
-1.4118003,-0.80735964,-0.781942,-0.78520703,-0.71879065,-0.77230376
-1.2888469,-0.80735964,-0.76512176,-0.7693012,-0.7077466,-0.7499403
-1.3503236,-1.0964532,-0.7760549,-0.78520703,-0.7353568,-0.77230376
-1.5347538,-1.0964532,-0.78867006,-0.78520703,-0.7353568,-0.77230376
-1.2888469,-0.80735964,-0.7668038,-0.76134825,-0.71326864,-0.73875856
-1.2888469,-0.80735964,-0.76512176,-0.7693012,-0.7077466,-0.7499403
-1.1658933,-1.0964532,-0.7457785,-0.747033,-0.7353568,-0.77230376
-1.3503236,-1.0964532,-0.7760549,-0.78520703,-0.7353568,-0.77230376
-1.3503236,-1.0964532,-0.7760549,-0.78520703,-0.7353568,-0.77230376
-1.473277,-1.0964532,-0.78530604,-0.7772541,-0.7353568,-0.77230376
-1.5347538,-1.0964532,-0.78867006,-0.78520703,-0.7353568,-0.77230376
-1.3503236,-0.80735964,-0.77353185,-0.76134825,-0.71326864,-0.77230376
-1.4118003,-1.0964532,-0.781942,-0.78520703,-0.7353568,-0.77230376
-1.3503236,-1.0964532,-0.7760549,-0.78520703,-0.7353568,-0.77230376
-1.4118003,-1.0964532,-0.783624,-0.78520703,-0.7353568,-0.77230376
-1.3503236,-1.0964532,-0.7760549,-0.78520703,-0.7353568,-0.77230376
-1.2888469,-0.80735964,-0.7684858,-0.78520703,-0.7077466,-0.77230376
-1.2888469,-1.0964532,-0.7668038,-0.76134825,-0.72983474,-0.73875856
-1.2273701,-1.0964532,-0.7575526,-0.77407295,-0.7353568,-0.76112205
-1.2888469,-0.80735964,-0.7684858,-0.78520703,-0.7077466,-0.77230376
-1.1658933,-0.80735964,-0.7609167,-0.7772541,-0.71326864,-0.77230376
0.18659474,-0.518266,-0.08222018,0.14369372,-0.3046379,0.12223618
-1.473277,-1.0964532,-0.78614706,-0.78520703,-0.7353568,-0.77230376
-1.5347538,-1.0964532,-0.78867006,-0.78520703,-0.7353568,-0.77230376
-1.4118003,-0.80735964,-0.781942,-0.78520703,-0.71879065,-0.77230376
-1.2888469,-1.0964532,-0.7668038,-0.76134825,-0.72983474,-0.73875856
-1.2888469,-0.80735964,-0.7684858,-0.78520703,-0.7077466,-0.77230376
0.98579234,-0.518266,0.72935617,0.6749486,-0.12793273,-0.034308314
-1.3503236,-1.0964532,-0.7760549,-0.78520703,-0.7353568,-0.77230376
-1.2888469,-0.80735964,-0.7684858,-0.78520703,-0.7077466,-0.77230376
-1.4118003,-1.0964532,-0.781942,-0.78520703,-0.7353568,-0.77230376
-1.3503236,-0.80735964,-0.77353185,-0.76134825,-0.71326864,-0.77230376
-0.7355563,-1.0964532,-0.6196267,-0.6738662,-0.7353568,-0.6045775
-0.67407954,-0.80735964,-0.6019655,-0.58320296,-0.61939406,-0.52630526
-1.473277,-0.80735964,-0.78614706,-0.78520703,-0.7243127,-0.77230376
-1.2273701,-0.22917245,-0.75250655,-0.76612,-0.613872,-0.68284976
